"CIS";"CIP13";"CIP7";"NOM_CIP13";"statut";"action";"dateAction";"libelle";"agrement";"taux";"prixHorsHono";"prixTotal";"honoraires";"denomination";"dateAMM";"numAMMCE";"nomCIS";"numFamille";"type";"tri";"denomination_ss_labo";"nb_CIS";"unite";"contenance";"unite2";"unite_final"
"60010885";"3400938093346";"3809334";"CIPROFLOXACINE RANBAXY 250 MG CPR 12";"Présentation active";"Déclaration de commercialisation";2009-04-14;"plaquette(s) PVC PVDC aluminium de 12 comprimé(s)";"oui";"65%";"7,09";"8,11";"1,02";"CIPROFLOXACINE RANBAXY 250 mg, comprime pellicule";"2007-07-06";"";"CIPROFLOXACINE RANBAXY 250 mg";"189";"2";15;"CIPROFLOXACINE 250 mg, comprimé pelliculé";2;1;NA;12;12
"60010885";"3400938093346";"3809334";"CIPROFLOXACINE RANBAXY 250 MG CPR 12";"Présentation active";"Déclaration de commercialisation";2009-04-14;"plaquette(s) PVC PVDC aluminium de 12 comprimé(s)";"oui";"65%";"7,09";"8,11";"1,02";"CIPROFLOXACINE RANBAXY 250 mg, comprime pellicule";"2007-07-06";"";"CIPROFLOXACINE RANBAXY 250 mg";"188";"1";9;"CIPROFLOXACINE 250 mg, comprimé pelliculé";2;1;NA;12;12
"60016308";"3400937405942";"3740594";"CARVEDILOL MYLAN 25MG CPR 28";"Présentation active";"Déclaration de commercialisation";2006-10-30;"plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s)";"oui";"65%";"4,47";"5,49";"1,02";"CARVEDILOL MYLAN 25 mg, comprime pellicule secable";"2006-02-13";"";"CARVEDILOL MYLAN 25 mg";"327";"1";6;"CARVEDILOL 25 mg, comprimé pelliculé sécable";1;1;NA;28;28
"60018088";"3400956582013";"5658201";NA;"Présentation active";"Déclaration de commercialisation";2006-06-13;"100 plaquette(s) PVC-Aluminium de 1 gélule(s)";"oui";"";"";"";"";"LYRICA 300 mg, gelule";"2004-07-06";"EU/1/04/279";"LYRICA 300 mg";"1255";"0";1;"LYRICA 300 mg, gélule";2;100;NA;1;100
"60018088";"3400936513303";"3651330";"LYRICA 300MG GELULE 56";"Présentation active";"Déclaration de commercialisation";2006-06-13;"plaquette(s) PVC-Aluminium de 56 gélule(s)";"oui";"65%";"26,14";"27,16";"1,02";"LYRICA 300 mg, gelule";"2004-07-06";"EU/1/04/279";"LYRICA 300 mg";"1255";"0";1;"LYRICA 300 mg, gélule";2;1;NA;56;56
"60018896";"3400927944123";"2794412";"PERINDOPRIL TOSILATE TEVA 10 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2015-01-08;"3 pilulier(s) polypropylène de 30 comprimé(s)";"oui";"65%";"12,13";"14,89";"2,76";"PERINDOPRIL TOSILATE TEVA 10 mg, comprime pellicule";"2014-08-13";"";"PERINDOPRIL TOSILATE TEVA 10 mg";"521";"1";19;"PERINDOPRIL TOSILATE 10 mg, comprimé pelliculé";2;3;NA;30;90
"60018896";"3400927943812";"2794381";"PERINDOPRIL TOSILATE TEVA 10 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2015-01-08;"pilulier(s) polypropylène de 30 comprimé(s)";"oui";"65%";"4,17";"5,19";"1,02";"PERINDOPRIL TOSILATE TEVA 10 mg, comprime pellicule";"2014-08-13";"";"PERINDOPRIL TOSILATE TEVA 10 mg";"521";"1";19;"PERINDOPRIL TOSILATE 10 mg, comprimé pelliculé";2;1;NA;30;30
"60019101";"3400932029808";"3202980";"OPTICRON 2% COLLYRE FL 5ML 1/5 ML";"Présentation active";"Déclaration de commercialisation";1979-02-19;"1 flacon(s) polyéthylène de 5 ml";"oui";"30%";"2,46";"3,48";"1,02";"OPTICRON 2 POUR CENT, collyre";"1983-10-06";"";"OPTICRON 2 POUR CENT";"483";"0";1;"OPTICRON 2 POUR CENT, collyre";1;1;"5ML";1;1
"60019927";"3400934874741";"3487474";"SOLIAN 100MG CPR SEC 30";"Présentation active";"Déclaration de commercialisation";1999-05-25;"plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"10,27";"11,29";"1,02";"SOLIAN 100 mg, comprime secable";"1998-11-25";"";"SOLIAN 100 mg";"264";"0";1;"SOLIAN 100 mg, comprimé sécable";2;1;NA;30;30
"60019927";"3400956131211";"5613121";NA;"Présentation active";"Déclaration de commercialisation";1999-07-19;"plaquette(s) thermoformée(s) PVC-Aluminium de 150 comprimé(s)";"oui";"";"";"";"";"SOLIAN 100 mg, comprime secable";"1998-11-25";"";"SOLIAN 100 mg";"264";"0";1;"SOLIAN 100 mg, comprimé sécable";2;1;NA;150;150
"60021127";"3400934968174";"3496817";"SPIRONOLACTONE MYLAN 75MG CPR 30";"Présentation active";"Déclaration de commercialisation";2000-03-13;"plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s)";"oui";"65%";"3,80";"4,82";"1,02";"SPIRONOLACTONE MYLAN 75 mg, comprime pellicule";"1997-03-28";"";"SPIRONOLACTONE MYLAN 75 mg";"58";"1";7;"SPIRONOLACTONE 75 mg, comprimé pelliculé";2;1;NA;30;30
"60021127";"3400937383387";"3738338";"SPIRONOLACTONE MYLAN 75 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2015-10-06;"plaquette(s) thermoformée(s) PVC aluminium de 90 comprimé(s)";"oui";"65%";"10,97";"13,73";"2,76";"SPIRONOLACTONE MYLAN 75 mg, comprime pellicule";"1997-03-28";"";"SPIRONOLACTONE MYLAN 75 mg";"58";"1";7;"SPIRONOLACTONE 75 mg, comprimé pelliculé";2;1;NA;90;90
"60026957";"3400938753318";"3875331";"GLIBENCLAMIDE TEVA 5MG CPR 180";"Présentation active";"Déclaration de commercialisation";2008-11-25;"plaquette(s) thermoformée(s) PVC-Aluminium de 180 comprimé(s)";"oui";"65%";"11,12";"12,14";"1,02";"GLIBENCLAMIDE TEVA 5 mg, comprime secable";"2005-08-26";"";"GLIBENCLAMIDE TEVA 5 mg";"420";"1";8;"GLIBENCLAMIDE 5 mg, comprimé sécable";3;1;NA;180;180
"60026957";"3400936820982";"3682098";"GLIBENCLAMIDE TEVA 5MG CPR 20";"Présentation active";"Déclaration de commercialisation";2005-11-24;"plaquette(s) thermoformée(s) PVC-Aluminium de 20 comprimé(s)";"oui";"65%";"1,58";"2,60";"1,02";"GLIBENCLAMIDE TEVA 5 mg, comprime secable";"2005-08-26";"";"GLIBENCLAMIDE TEVA 5 mg";"420";"1";8;"GLIBENCLAMIDE 5 mg, comprimé sécable";3;1;NA;20;20
"60026957";"3400937016254";"3701625";"GLIBENCLAMIDE TEVA 5MG CPR 90";"Présentation active";"Déclaration de commercialisation";2006-03-14;"plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s)";"oui";"65%";"5,69";"6,71";"1,02";"GLIBENCLAMIDE TEVA 5 mg, comprime secable";"2005-08-26";"";"GLIBENCLAMIDE TEVA 5 mg";"420";"1";8;"GLIBENCLAMIDE 5 mg, comprimé sécable";3;1;NA;90;90
"60028050";"3400938264913";"3826491";"GABAPENTINE RANBAXY 400 MG GELULE 90";"Présentation active";"Déclaration de commercialisation";2011-04-11;"plaquette(s) PVC-Aluminium PVDC de 90 gélule(s)";"oui";"65%";"30,22";"31,24";"1,02";"GABAPENTINE RANBAXY 400 mg, gelule";"2007-11-21";"";"GABAPENTINE RANBAXY 400 mg";"340";"1";11;"GABAPENTINE 400 mg, gélule";1;1;NA;90;90
"60028552";"3400956511792";"5651179";NA;"Présentation active";"Déclaration de commercialisation";2004-04-26;"5 ampoule(s) en verre de 2,5 ml";"oui";"";"";"";"";"TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule";"1986-05-21";"";"TRACRIUM 25 mg/2,5 ml (1 POUR CENT)";"1216";"0";1;"TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule";1;5;"2,5ml";1;5
"60031071";"3400930043431";"3004343";NA;"Présentation active";"Déclaration de commercialisation";2016-10-04;"28 plaquette(s) pelable(s) papier polytéréphtalate (PET) aluminium PVC-Aluminium polyamide de 1 comprimé(s)";"oui";"65%";"21,32";"22,34";"1,02";"ARIPIPRAZOLE SANDOZ 10 mg, comprime orodispersible";"2016-03-03";"";"ARIPIPRAZOLE SANDOZ 10 mg";"1282";"1";8;"ARIPIPRAZOLE 10 mg, comprimé orodispersible";1;28;NA;1;28
"60031954";"3400921694017";"2169401";"PERINDOPRIL EVOLUGEN 8 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2013-08-08;"plaquette(s) formée(s) à froid aluminium de 30 comprimé(s)";"oui";"65%";"4,17";"5,19";"1,02";"PERINDOPRIL EVOLUGEN 8 mg, comprime";"2012-03-05";"";"PERINDOPRIL EVOLUGEN 8 mg";"521";"1";9;"PERINDOPRIL 8 mg, comprimé";1;1;NA;30;30
"60034936";"3400938415797";"3841579";"KETOCONAZOLE BIOGARAN 2 P. 100 GEL SACHET 8/6 G";"Présentation active";"Déclaration de commercialisation";2009-03-17;"8 sachet(s)-dose(s) polytéréphtalate (PET) aluminium polyéthylène de 6 g";"oui";"30%";"4,75";"5,77";"1,02";"KETOCONAZOLE BIOGARAN 2 %, gel en sachet-dose";"2008-02-14";"";"KETOCONAZOLE BIOGARAN 2 %";"649";"1";3;"KETOCONAZOLE 2 %, gel en sachet-dose";1;8;"6G";1;8
"60035924";"3400949215539";"4921553";"OXOMEMAZINE MYLAN 0,33 MG/ML SANS SUCRE FL 1/150 ML";"Présentation active";"Déclaration de commercialisation";2011-08-26;"1 flacon(s) en verre brun de 150 ml avec gobelet(s) doseur(s) polypropylène";"oui";"15%";"1,99";"3,01";"1,02";"OXOMEMAZINE MYLAN 0,33 mg/ml SANS SUCRE, solution buvable edulcoree a l'acesulfame potassique";"2010-07-22";"";"OXOMEMAZINE MYLAN 0,33 mg/ml SANS SUCRE";"952";"1";8;"OXOMEMAZINE 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique";1;1;"150ML";1;1
"60038468";"3400921967920";"2196792";"LAMOTRIGINE ARROW LAB 200 MG CPR DISP 30";"Présentation active";"Déclaration de commercialisation";2015-08-04;"plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 30 comprimé(s)";"oui";"65%";"12,59";"13,61";"1,02";"LAMOTRIGINE ARROW LAB 200 mg, comprime dispersible ou a croquer";"2012-02-09";"";"LAMOTRIGINE ARROW LAB 200 mg";"397";"1";3;"LAMOTRIGINE 200 mg, comprimé dispersible ou à croquer";1;1;NA;30;30
"60041560";"3400949363940";"4936394";"TRAMADOL CRISTERS LP 150 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2014-04-25;"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";"oui";"65%";"8,91";"9,93";"1,02";"TRAMADOL CRISTERS LP 150 mg, comprime pellicule a liberation prolongee";"2010-08-16";"";"TRAMADOL CRISTERS LP 150 mg";"699";"1";6;"TRAMADOL 150 mg, comprimé pelliculé à libération prolongée";1;1;NA;30;30
"60043077";"3400937982863";"3798286";"OXCARBAZEPINE MYLAN 300MG CPR 250";"Présentation active";"Déclaration de commercialisation";2007-10-01;"plaquette(s) thermoformée(s) PVC PVDC aluminium de 50 comprimé(s)";"oui";"65%";"15,69";"16,71";"1,02";"OXCARBAZEPINE MYLAN 300 mg, comprime pellicule";"2007-04-23";"";"OXCARBAZEPINE MYLAN 300 mg";"589";"1";2;"OXCARBAZEPINE 300 mg, comprimé pelliculé";1;1;NA;50;50
"60044492";"3400926606343";"2660634";"DONEPEZIL CRISTERS 5 MG CPR 28";"Présentation active";"Déclaration de commercialisation";2013-10-03;"plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s)";"oui";"15%";"21,42";"22,44";"1,02";"DONEPEZIL CRISTERS 5 mg, comprime pellicule";"2012-07-20";"";"DONEPEZIL CRISTERS 5 mg";"657";"1";9;"DONEPEZIL 5 mg, comprimé pelliculé";1;1;NA;28;28
"60044784";"3400941626104";"4162610";"LEVETIRACETAM MYLAN PHARMA 250 MG CPR 60";"Présentation active";"Déclaration de commercialisation";2011-09-12;"plaquette(s) thermoformée(s) PVC-Aluminium de 60 comprimé(s)";"oui";"65%";"17,52";"18,54";"1,02";"LEVETIRACETAM MYLAN PHARMA 250 mg, comprime pellicule";"2011-05-27";"";"LEVETIRACETAM MYLAN PHARMA 250 mg";"1026";"1";13;"LEVETIRACETAM 250 mg, comprimé pelliculé";2;1;NA;60;60
"60044784";"3400941626104";"4162610";"LEVETIRACETAM MYLAN PHARMA 250 MG CPR 60";"Présentation active";"Déclaration de commercialisation";2011-09-12;"plaquette(s) thermoformée(s) PVC-Aluminium de 60 comprimé(s)";"oui";"65%";"17,52";"18,54";"1,02";"LEVETIRACETAM MYLAN PHARMA 250 mg, comprime pellicule";"2011-05-27";"";"LEVETIRACETAM MYLAN PHARMA 250 mg";"1027";"2";21;"LEVETIRACETAM 250 mg, comprimé pelliculé";2;1;NA;60;60
"60044987";"3400927449864";"2744986";"CAPECITABINE MYLAN 500 MG CPR 120";"Présentation active";"Déclaration de commercialisation";2014-01-06;"plaquette(s) PVC polyéthylène PVDC aluminium de 120 comprimé(s)";"oui";"100%";"151,30";"152,32";"1,02";"CAPECITABINE MYLAN 500 mg, comprime pellicule";"2013-09-06";"";"CAPECITABINE MYLAN 500 mg";"1095";"1";8;"CAPECITABINE 500 mg, comprimé pelliculé";1;1;NA;120;120
"60047182";"3400936155640";"3615564";"CONCERTA LP 54 MG CPR 28";"Présentation active";"Déclaration de commercialisation";2006-09-04;"1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 28 comprimé(s)";"oui";"65%";"54,51";"55,53";"1,02";"CONCERTA LP 54 mg, comprime a liberation prolongee";"2003-03-28";"";"CONCERTA LP 54 mg";"1439";"0";1;"CONCERTA 54 mg, comprimé à libération prolongée";1;1;NA;28;28
"60047271";"3400934384127";"3438412";"XALATAN 0,005 P. 100 COLLYRE 3/2,5 ML";"Présentation active";"Déclaration de commercialisation";2009-06-04;"3 flacon(s) compte-gouttes polyéthylène de 2,5 ml";"oui";"65%";"16,78";"17,80";"1,02";"XALATAN 50 microgrammes/ml, collyre en solution";"1997-07-24";"";"XALATAN 50 microgrammes/ml";"812";"0";1;"XALATAN 50 microgrammes/ml, collyre en solution";2;3;"2,5ML";1;3
"60047271";"3400934384066";"3438406";"XALATAN 0,005% COLLYRE FL 2,5ML 1/2,5 ML";"Présentation active";"Déclaration de commercialisation";1997-09-19;"1 flacon(s) compte-gouttes polyéthylène de 2,5 ml";"oui";"65%";"5,74";"6,76";"1,02";"XALATAN 50 microgrammes/ml, collyre en solution";"1997-07-24";"";"XALATAN 50 microgrammes/ml";"812";"0";1;"XALATAN 50 microgrammes/ml, collyre en solution";2;1;"2,5ML";1;1
"60048672";"3400938338294";"3833829";"BETAHISTINE TEVA 24MG CPR 60";"Présentation active";"Déclaration de commercialisation";2008-12-26;"plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 comprimé(s)";"oui";"30%";"6,26";"7,28";"1,02";"BETAHISTINE TEVA 24 mg, comprime";"2008-01-14";"";"BETAHISTINE TEVA 24 mg";"595";"1";10;"BETAHISTINE 24 mg, comprimé";1;1;NA;60;60
"60049895";"3400939258331";"3925833";"RAMIPRIL ALMUS 10 MG CPR SEC 90";"Présentation active";"Déclaration de commercialisation";2012-11-16;"plaquette(s) aluminium de 90 comprimé(s)";"oui";"65%";"13,19";"15,95";"2,76";"RAMIPRIL ALMUS 10 mg, comprime secable";"2006-02-08";"";"RAMIPRIL ALMUS 10 mg";"382";"1";2;"RAMIPRIL 10 mg, comprimé sécable";2;1;NA;90;90
"60049895";"3400937335652";"3733565";"RAMIPRIL ALMUS 10MG CPR 30";"Présentation active";"Déclaration de commercialisation";2008-01-28;"plaquette(s) aluminium de 30 comprimé(s)";"oui";"65%";"4,57";"5,59";"1,02";"RAMIPRIL ALMUS 10 mg, comprime secable";"2006-02-08";"";"RAMIPRIL ALMUS 10 mg";"382";"1";2;"RAMIPRIL 10 mg, comprimé sécable";2;1;NA;30;30
"60051234";"3400936182554";"3618255";"AVODART 0,5MG CAPSULE 30";"Présentation active";"Déclaration de commercialisation";2003-09-22;"3 plaquette(s) PVC PVDC aluminium de 10 capsule(s)";"oui";"30%";"18,35";"19,37";"1,02";"AVODART 0,5 mg, capsule molle";"2003-03-27";"";"AVODART 0,5 mg";"1308";"0";1;"AVODART 0,5 mg, capsule molle";1;3;NA;10;30
"60058008";"3400937818315";"3781831";"EXFORGE 10 MG/160 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2007-08-14;"plaquette(s) PVC PVDC de 90 comprimé(s)";"oui";"65%";"57,83";"60,59";"2,76";"EXFORGE 10 mg/160 mg, comprime pellicule";"2007-01-17";"EU/1/06/370";"EXFORGE 10 mg/160 mg";"1403";"0";1;"EXFORGE 10 mg/160 mg, comprimé pelliculé";3;1;NA;90;90
"60058008";"3400937818193";"3781819";"EXFORGE 10 MG/160MG CPR 30";"Présentation active";"Déclaration de commercialisation";2007-08-14;"plaquette(s) PVC PVDC de 30 comprimé(s)";"oui";"65%";"20,47";"21,49";"1,02";"EXFORGE 10 mg/160 mg, comprime pellicule";"2007-01-17";"EU/1/06/370";"EXFORGE 10 mg/160 mg";"1403";"0";1;"EXFORGE 10 mg/160 mg, comprimé pelliculé";3;1;NA;30;30
"60058008";"3400938204421";"3820442";NA;"Présentation active";"Déclaration de commercialisation";2009-01-21;"56 plaquette(s) PVC PVDC de 1 comprimé(s)";"oui";"";"";"";"";"EXFORGE 10 mg/160 mg, comprime pellicule";"2007-01-17";"EU/1/06/370";"EXFORGE 10 mg/160 mg";"1403";"0";1;"EXFORGE 10 mg/160 mg, comprimé pelliculé";3;56;NA;1;56
"60058378";"3400936738287";"3673828";"SPIRONOLACTONE ZENTIVA 75 MG CPR SEC 30";"Présentation active";"Déclaration de commercialisation";2005-12-01;"plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"3,80";"4,82";"1,02";"SPIRONOLACTONE ZENTIVA 75 mg, comprime secable";"1996-01-16";"";"SPIRONOLACTONE ZENTIVA 75 mg";"58";"1";12;"SPIRONOLACTONE 75 mg, comprimé sécable";1;1;NA;30;30
"60061602";"3400930022849";"3002284";"PREGABALINE TEVA SANTE 200 MG GELULE 84";"Présentation active";"Déclaration de commercialisation";2016-02-12;"84 plaquette(s) PVC-Aluminium de 1 gélule(s)";"oui";"65%";"26,53";"27,55";"1,02";"PREGABALINE TEVA SANTE 200 mg, gelule";"2015-09-14";"";"PREGABALINE TEVA SANTE 200 mg";"1254";"1";15;"PREGABALINE 200 mg, gélule";1;84;NA;1;84
"60064872";"3400922012865";"2201286";"GALANTAMINE ARROW LP 8 MG GELULE 28";"Présentation active";"Déclaration de commercialisation";2012-10-02;"plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 28 gélule(s)";"oui";"15%";"19,66";"20,68";"1,02";"GALANTAMINE ARROW LP 8 mg, gelule a liberation prolongee";"2012-01-13";"";"GALANTAMINE ARROW LP 8 mg";"1039";"1";2;"GALANTAMINE 8 mg, gélule à libération prolongée";1;1;NA;28;28
"60065198";"3400939082660";"3908266";"CELIPROLOL ZENTIVA 200 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2010-02-25;"plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"5,49";"6,51";"1,02";"CELIPROLOL ZENTIVA 200 mg, comprime pellicule";"2008-12-22";"";"CELIPROLOL ZENTIVA 200 mg";"83";"1";12;"CELIPROLOL 200 mg, comprimé pelliculé";2;1;NA;30;30
"60065198";"3400938972559";"3897255";"CELIPROLOL ZENTIVA 200 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2010-02-25;"plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s)";"oui";"65%";"16,13";"18,89";"2,76";"CELIPROLOL ZENTIVA 200 mg, comprime pellicule";"2008-12-22";"";"CELIPROLOL ZENTIVA 200 mg";"83";"1";12;"CELIPROLOL 200 mg, comprimé pelliculé";2;1;NA;90;90
"60069339";"3400921861099";"2186109";"MONTELUKAST TEVA 4 MG SACHET 28";"Présentation active";"Déclaration de commercialisation";2013-03-04;"28 sachet(s)-dose(s) kraft polyéthylène basse densité (PEBD) aluminium P-A-M-éthylène (SURLYN)";"oui";"65%";"13,84";"14,86";"1,02";"MONTELUKAST TEVA 4 mg, granules";"2012-01-11";"";"MONTELUKAST TEVA 4 mg";"1069";"1";4;"MONTELUKAST 4 mg, granulés";1;28;NA;1;28
"60071190";"3400937884310";"3788431";"SIMVASTATINE SANDOZ 10 MG CPR SEC 28";"Présentation active";"Déclaration de commercialisation";2007-08-13;"plaquette(s) PVC aluminium de 28 comprimé(s)";"oui";"65%";"3,15";"4,17";"1,02";"SIMVASTATINE SANDOZ 10 mg, comprime pellicule secable";"2007-03-07";"";"SIMVASTATINE SANDOZ 10 mg";"349";"1";13;"SIMVASTATINE 10 mg, comprimé pelliculé sécable";1;1;NA;28;28
"60071952";"3400937974998";"3797499";"EUPANTOL 40 MG CPR 28";"Présentation active";"Déclaration de commercialisation";2011-01-01;"plaquette(s) aluminium de 28 comprimé(s)";"oui";"65%";"8,57";"9,59";"1,02";"EUPANTOL 40 mg, comprime gastro-resistant";"1995-02-08";"";"EUPANTOL 40 mg";"615";"0";1;"EUPANTOL 40 mg, comprimé gastro-résistant";2;1;NA;28;28
"60071952";"3400955903482";"5590348";NA;"Présentation active";"Déclaration de commercialisation";1996-04-19;"plaquette(s) aluminium de 50 comprimé(s)";"oui";"";"";"";"";"EUPANTOL 40 mg, comprime gastro-resistant";"1995-02-08";"";"EUPANTOL 40 mg";"615";"0";1;"EUPANTOL 40 mg, comprimé gastro-résistant";2;1;NA;50;50
"60072506";"3400956156573";"5615657";NA;"Présentation active";"Déclaration de commercialisation";2009-06-26;"1 flacon(s) en verre de 12,5 ml";"oui";"";"";"";"";"MITOXANTRONE TEVA 25 mg/12,5 ml, solution a diluer pour perfusion";"1998-04-30";"";"MITOXANTRONE TEVA 25 mg/12,5 ml";"452";"1";3;"MITOXANTRONE 25 mg/12,5 ml, solution à diluer pour perfusion";1;1;"12,5ml";1;1
